Thái	O	GPE	Place	O
huỷ	O	O	O	O
kế_hoạch	O	O	O	O
ân_xá	Pardon	O	O	E
có	O	O	O	O
lợi	O	O	O	O
cho	O	O	O	O
Thaksin	O	PER	Defendant	O
.	O	O	O	O

Ảnh	O	O	O	O
:	O	O	O	O
Bangkok_Post_Bộ_trưởng	O	O	O	O
Tư_pháp	O	O	O	O
Thái_Lan	O	O	O	O
Pracha_Promnok	O	O	O	O
hôm_qua	O	O	O	O
cho_hay	O	O	O	O
dự_thảo	O	O	O	O
sắc_lệnh	O	O	O	O
ân_xá	Pardon	O	O	E
cho	O	O	O	O
các	O	O	O	O
tù_nhân	O	PER	Defendant	O
sẽ	O	O	O	O
chỉ	O	O	O	O
bao_gồm	O	O	O	O
các	O	O	O	O
điều_kiện	O	O	O	O
thông_thường	O	O	O	O
.	O	O	O	O

Nghĩa_là	O	O	O	O
các	O	O	O	O
tù_nhân	O	O	O	O
phạm_tội	O	O	O	O
buôn_bán	O	O	O	O
ma_tuý	O	O	O	O
,	O	O	O	O
tham_nhũng	O	O	O	O
và	O	O	O	O
đã	O	O	O	O
bỏ	O	O	O	O
trốn	O	O	O	O
sẽ	O	O	O	O
không	O	O	O	O
được	O	O	O	O
nhận	O	O	O	O
sự	O	O	O	O
ân_xá	Pardon	O	O	E
của	O	O	O	O
hoàng_gia	O	ORG	Adjudicator	O
.	O	O	O	O

Theo	O	O	O	O
Bangkok_Post	O	O	O	O
,	O	O	O	O
tuyên_bố	O	O	O	O
của	O	O	O	O
ông	O	O	O	O
Pol_Gen_Pracha	O	O	O	O
được	O	O	O	O
đưa	O	O	O	O
ra	O	O	O	O
chỉ	O	O	O	O
vài	O	O	O	O
giờ	O	O	O	O
sau	O	O	O	O
khi	O	O	O	O
cựu	O	PER	Entity	O
thủ_tướng	O	PER	Entity	O
Thaksin	O	PER	Entity	O
gửi	Phone-write	O	O	E
thư	Phone-write	O	O	O
khẳng_định	O	O	O	O
rằng	O	O	O	O
ông	O	O	O	O
không	O	O	O	O
muốn	O	O	O	O
nhận	O	O	O	O
sự	O	O	O	O
ưu_đãi	O	O	O	O
của	O	O	O	O
hoàng_gia	O	O	O	O
.	O	O	O	O

Tuy_nhiên	O	O	O	O
,	O	O	O	O
ông	O	O	O	O
Pol	O	O	O	O
phủ_nhận	O	O	O	O
bất_kỳ	O	O	O	O
sự	O	O	O	O
liên_hệ	O	O	O	O
nào	O	O	O	O
với	O	O	O	O
Thaksin	O	O	O	O
và	O	O	O	O
cho_biết	O	O	O	O
dự_thảo	O	O	O	O
ân_xá	Pardon	O	O	E
trên	O	O	O	O
bị	O	O	O	O
rút	O	O	O	O
lại	O	O	O	O
sau	O	O	O	O
khi	O	O	O	O
vì	O	O	O	O
sự	O	O	O	O
chỉ_trích	O	O	O	O
trong	O	O	O	O
công_chúng	O	O	O	O
.	O	O	O	O

Cựu	O	PER	Entity	O
thủ_tướng	O	PER	Entity	O
cho_biết	O	O	O	O
ông	O	O	O	O
viết	Phone-write	O	O	E
thư_từ	O	O	O	O
Dubai	O	GPE	O	O
và	O	O	O	O
không	O	O	O	O
muốn	O	O	O	O
làm	O	O	O	O
ảnh_hưởng	O	O	O	O
đến	O	O	O	O
sự	O	O	O	O
thống_nhất	O	O	O	O
quốc_gia	O	O	O	O
khi	O	O	O	O
Thái_Lan	O	O	O	O
đã	O	O	O	O
phải	O	O	O	O
trải	O	O	O	O
qua	O	O	O	O
một	O	O	O	O
cuộc	O	O	O	O
khủng_hoảng	O	O	O	O
