Cô_gái	O
yêu	O
kết_hôn	Marry
và	O
mang_thai	O
chỉ	O
trong	O
9	O
ngày	O
.	O

Sáu	O
tháng	O
trước	O
nữ	O
diễn_viên	O
Rosie_Mac	O
21	O
tuổi	O
ở	O
thành_phố	O
Newcastle	O
Anh	O
là	O
một	O
trinh_nữ	O
độc_thân	O
.	O

Chia_sẻ	O
câu_chuyện	O
của	O
mình	O
trên	O
tờ	O
The_Sun	O
cô	O
nói	O
"	O
Tôi	O
biết_điều	O
đó	O
thật	O
điên_rồ	O
.	O

Tôi	O
chưa	O
bao_giờ	O
tin	O
vào	O
tình_yêu	O
ngay	O
từ	O
cái	O
nhìn	O
đầu_tiên	O
"	O
.	O

Rosie	O
từng	O
là	O
diễn_viên	O
đóng	O
thế	O
trong	O
tác_phẩm	O
Game	O
of	O
Thrones	O
.	O

Hiện_tại	O
cô	O
vẫn	O
theo	O
nghiệp	O
diễn_viên	O
và	O
ca_sĩ	O
chuyên_nghiệp	O
.	O

Vào	O
tháng	O
4/2018	O
Rosie	O
có	O
chuyến	O
công_tác	O
tại	O
Los_Angeles	O
.	O

Qua	O
Facebook	O
cô	O
quen	O
Josh_Breaks	O
24	O
tuổi	O
một	O
nhạc_sĩ	O
.	O

Cô	O
và	O
Josh	O
cô	O
hẹn	Meet
nhau	Meet
để	O
trao_đổi	O
công_việc	O
.	O

Đôi	O
uyên_ương	O
Rosie	O
và	O
Josh	O
rơi	O
vào	O
lưới	O
tình	O
và	O
cưới	Marry
có	O
con	O
chóng_vánh	O
.	O

Ảnh	O
The_Sun	O
.	O

Ngay	O
khi	O
gặp_mặt	O
họ	O
đã	O
yêu	O
nhau	O
nhanh_chóng	O
.	O

Chỉ	O
3	O
ngày	O
sau	O
khi	O
chính_thức	O
quen_biết	O
họ	O
bắt_đầu	O
bàn_bạc	O
về	O
chuyện	O
tiến	O
tới	O
hôn_nhân	O
.	O

"	O
Lãng_mạn	O
nhất_là	O
ngày	O
thứ	O
3	O
hai	O
đứa	O
gặp	O
nhau	O
trên	O
bãi	O
biển	O
Santa	O
Monica	O
.	O

Anh	O
ấy	O
nói	O
tôi	O
sẽ	O
trở_thành	O
vợ	O
của	O
anh	O
ấy	O
.	O

Sau	O
đó	O
chúng_tôi	O
xúc_tiến	O
ngay	O
việc	O
đó	O
"	O
Rosie	O
kể	O
.	O

Đến	O
ngày	O
thứ	O
6	O
Rosie	O
và	O
Josh	O
đi	O
đăng_ký	Marry
kết_hôn	Marry
chỉ	O
có	O
họ	O
và	O
mục_sư	O
cùng	O
một	O
người	O
làm_chứng	O
.	O

Sau	O
sự_việc	O
đôi	O
vợ_chồng	O
qua	Transport
Tây_Ban_Nha	O
gặp	Meet
bố_mẹ	O
Rosie	O
rồi	O
đến	Transport
Scotland	O
gặp	Meet
bố_mẹ	O
Josh	O
cùng	O
một_vài	O
kế_hoạch	O
thử	O
các	O
bộ_phim	O
mới	O
.	O

Nhưng	O
lúc	O
này	O
cô	O
ốm	O
lên	O
xuống	O
.	O

Hoá_ra	O
cô	O
đã	O
mang_thai	O
.	O

Cô	O
mang_thai	O
.	O

Em	O
bé	O
của	O
họ	O
sẽ	O
chào_đời	Be-born
vào	O
tháng	O
Giêng	O
2019	O
.	O

Ảnh	O
The_Sun	O
.	O

"	O
Cha_mẹ	O
của	O
Josh	O
đã	O
vô_cùng	O
ngạc_nhiên	O
khi	O
chúng_tôi	O
thông_báo	O
kết_hôn	Marry
và	O
còn	O
sốc	O
hơn_nữa	O
khi	O
biết	O
đã	O
lên	O
chức	O
ông_bà	O
sau	O
lần	O
gặp	O
đầu	O
vài	O
ngày	O
.	O

Cha_mẹ	O
tôi	O
cũng	O
sốc	O
không	O
kém	O
nhưng	O
họ	O
nhanh_chóng	O
vui_vẻ	O
"	O
cô	O
chia_sẻ	O
.	O

Bảo_Nhiên	O

Người	O
đàn_ông	O
mang	O
dao	O
đến	O
trụ_sở	O
chém	Attack
trưởng	O
công_an	O
xã	O
.	O

Đỗ_Đình_Tiến	O
tại	O
