APW_ENG_20030319	O
.0545	O

NEWS	O
STORY	O

20030319	O

Diller	O
resigns	O
as	O
head	O
of	O
Vivendi	O
Universal	O
Entertainment	O

LOS	O
ANGELES	O
-LRB-	O
AP	O
-RRB-	O

Barry	O
Diller	O
resigned	End-Position
as	O
co-chief	O
executive	O
of	O
Vivendi	O
Universal	O
Entertainment	O
saying	O
it	O
was	O
appropriate	O
for	O
him	O
to	O
step	End-Position
down	End-Position
while	O
Paris-based	O
Vivendi	O
Universal	O
entertains	O
bids	Transfer-Ownership
for	O
Universal	O
Studios	O
Universal	O
's	O
theme	O
parks	O
and	O
other	O
entertainment	O
assets	O
.	O

Diller	O
was	O
appointed	Start-Position
interim	O
CEO	O
of	O
Vivendi	O
Universal	O
's	O
U.S.-based	O
entertainment	O
assets	O
last	O
year	O
while	O
Vivendi	O
Universal	O
concentrated	O
on	O
repaying	Transfer-Money
a	O
massive	O
debt	O
.	O

Cash-strapped	O
Vivendi	O
wants	O
to	O
sell	Transfer-Ownership
Universal	O
Studios	O
its	O
Universal	O
theme	O
parks	O
and	O
television	O
production	O
company	O
.	O

Former	O
oilman	O
Marvin	O
Davis	O
has	O
offered	O
20	O
billion	O
for	O
VUE	O
plus	O
Universal	O
Music	O
Group	O
.	O

Vivendi	O
also	O
is	O
holding	O
talks	Meet
with	O
Viacom	O
MGM	O
and	O
other	O
buyers	O
interested	O
in	O
acquiring	O
all	O
or	O
parts	O
of	O
its	O
entertainment	O
companies	O
.	O

Diller	O
served	O
as	O
co-CEO	O
with	O
Vivendi	O
Universal	O
chairman	O
Jean-Rene	O
Fourtou	O
.	O

``	O
My	O
executive	O
role	O
was	O
never	O
intended	O
to	O
be	O
permanent	O
''	O
Diller	O
said	O
in	O
a	O
statement	O
Wednesday	O
.	O

``	O
Now	O
that	O
Vivendi	O
Universal	O
has	O
begun	O
a	O
formal	O
process	O
in	O
reviewing	O
options	O
for	O
its	O
entertainment	O
assets	O
it	O
is	O
appropriate	O
to	O
step	End-Position
aside	End-Position
from	O
any	O
direct	O
management	O
responsibility	O
.	O

''	O

Diller	O
61	O
remains	O
chief	O
executive	O
officer	O
of	O
USA	O
Interactive	O
which	O
operates	O
the	O
Home	O
Shopping	O
Network	O
Ticketmaster	O
Match.com	O
and	O
Expedia	O
among	O
other	O
companies	O
and	O
has	O
a	O
5.4	O
percent	O
stake	O
in	O
VUE	O
.	O

Diller	O
will	O
continue	O
to	O
play	O
a	O
critical	O
role	O
in	O
the	O
future	O
of	O
Vivendi	O
's	O
entertainment	O
arm	O
.	O

He	O
personally	O
owns	O
1.5	O
percent	O
of	O
the	O
joint	O
venture	O
.	O

Diller	O
also	O
owns	O
preferred	O
stock	O
in	O
Vivendi	O
Universal	O
Entertainment	O
.	O

Diller	O
also	O
is	O
believed	O
to	O
be	O
interested	O
in	O
his	O
own	O
bid	Transfer-Ownership
for	O
one	O
or	O
more	O
of	O
the	O
entertainment	O
unit	O
's	O
assets	O
most	O
likely	O
the	O
film	O
studio	O
.	O

In	O
a	O
recent	O
interview	O
Diller	O
told	O
The	O
Associated	O
Press	O
he	O
would	O
be	O
interested	O
in	O
an	O
opportunity	O
to	O
bid	Transfer-Ownership
as	O
long	O
as	O
it	O
did	O
not	O
require	O
him	O
to	O
serve	O
as	O
chief	O
executive	O
.	O

Diller	O
has	O
maintained	O
his	O
top	O
interest	O
is	O
serving	O
as	O
head	O
of	O
USA	O
Interactive	O
.	O

Diller	O
has	O
served	O
as	O
head	O
of	O
Paramount	O
and	O
Twentieth	O
Century	O
Fox	O
where	O
he	O
helped	O
launch	O
the	O
Fox	O
Television	O
network	O
.	O

While	O
at	O
Fox	O
he	O
was	O
instrumental	O
in	O
creating	O
such	O
shows	O
as	O
``	O
Married	O
with	O
Children	O
''	O
and	O
``	O
The	O
